album_uri,artist_uri
spotify:album:6kp9dsLnll5WEiBlBUwBME,spotify:artist:0CJkEzffVZLgav03xXeC9s
spotify:album:0kIrSdkjAIqiQ8yhXyrtun,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
spotify:album:0lh0pZ8GjZGrAhzIG4Jn0E,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
spotify:album:5KR9XuMapeh6JjUdcy4MHM,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
spotify:album:6HwY3FwprtqsmMuoLnXWhT,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
spotify:album:6L9KslUZn4hbZdketnLD3z,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
spotify:album:6gstlIojQWTAcrsRqBQxLR,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
spotify:album:60J66evwnrnfH03HgDTrwN,spotify:artist:0Cqfz92flAzrp94pgN1jEW
spotify:album:3k4xr3Bn9NfyX7O1nlK7Mg,spotify:artist:0DRiXmEOc6dJ6Rug3xi4HZ
spotify:album:09WBxbis5Sixt01FVMs8UM,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL
spotify:album:2widuo17g5CEC66IbzveRu,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL
spotify:album:3pzQF7YgU1f66pBayA8uHv,spotify:artist:0EmeFodog0BfCgMzAIvKQp
spotify:album:3zHPYwiMJqa3hTBgk695Ae,spotify:artist:0EmeFodog0BfCgMzAIvKQp
spotify:album:4IcQ1ni07PmlOenqwf6MgG,spotify:artist:0EmeFodog0BfCgMzAIvKQp
spotify:album:5ppnlEoj4HdRRdRihnY3jU,spotify:artist:0EmeFodog0BfCgMzAIvKQp
spotify:album:6bUxh58rYTL67FS8dyTKMN,spotify:artist:0EmeFodog0BfCgMzAIvKQp
spotify:album:6gQKAYf3TJM9sppw3AtbHH,spotify:artist:0EmeFodog0BfCgMzAIvKQp
spotify:album:7LfArBzkgp1PPDGDGSYWaR,spotify:artist:0Ens2zPly8UFhQmyUUXlOH
spotify:album:02zl7wdcgbI0URRfMbzmF5,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
spotify:album:08z3DsL7P6RpBR3FgNMSvN,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
spotify:album:1Ao5vWPO13f4l0ldwxOKL7,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
spotify:album:1DzMyEZcFmD72jdkp4O73D,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
spotify:album:3bxhc60UWLrymlDVA21vy2,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
spotify:album:54O0kItm5ej0HThVMIv5hF,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
spotify:album:6YHteiOLrZ7gfQEqq2TeRM,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
spotify:album:6w3jg4xGMI5LLr5DEL3zWY,spotify:artist:0FRUZvZNPzM3YJMABJxf2K
spotify:album:6tGI9MGbLjbxyzcxYkMXPJ,spotify:artist:0GgY7hjMoGDsX8ZDe2mwds
spotify:album:0OLyahO2nuY0qQKoykd7Vy,spotify:artist:0IznZPMUyaPGdqfP4oqBja
spotify:album:1vlnwUAidj7bEmRhsq4zTv,spotify:artist:0Kekt6CKSo0m5mivKcoH51
spotify:album:5lVqgXqdoIH3W1wUM2hzPx,spotify:artist:0Kekt6CKSo0m5mivKcoH51
spotify:album:7hqotgNjEJt09XiggaMI1v,spotify:artist:0Kekt6CKSo0m5mivKcoH51
spotify:album:5egJ0o1mVH2liUfecDWYqk,spotify:artist:0Ku5VBNL7cfGXRhp2BxXEQ
spotify:album:2Y9IRtehByVkegoD7TcLfi,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
spotify:album:6deiaArbeoqp1xPEGdEKp1,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
spotify:album:7xl50xr9NDkd3i2kBbzsNZ,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
spotify:album:1Gi6ij4Jxc4qE35i3I0gqS,spotify:artist:0LOK81e9H5lr61HlGGHqwA
spotify:album:6P9erpHs7hgJlca7Tj3F0w,spotify:artist:0LOK81e9H5lr61HlGGHqwA
spotify:album:5fLOHW1UXr1cJrnXiU3FBt,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV
spotify:album:06H9y3oBVGgYQ0McDsCYX4,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:0CcL28OkH89kjgKpNZC8sW,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:1HlNyrcRkCbpi87jz6rY7y,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:1SFKmqhTTEkE3PmSBEMpa3,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:1d4rBfCtXPqkphzbvjokLa,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:1eKkeTIlePsRpKkQre78tT,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:1gknqNegsva4cyjTlrXDps,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:1l0aFrH24oPrQSqGtfeFyE,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:1woCvthHJakakroP6dXNxs,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:20PLlTE6r1hsQrmyhUW7oB,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:27d96rqnXRtmrGBGHJzPBh,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:2iY5eEAH23aCB9JGCNZO5k,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:2kzkwgOFAtRsDsas5Hi0Qu,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:32ypMgv8eQ7ACVd2uBaPG7,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3AYEvo7R1gY4O5xJuMwy3U,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3AeoTNhXFgBM7CuODGFelQ,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3HSd3voAxPxS50UrfInBVJ,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3IGRFGa4ErR0CU8aMMrRql,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3O5p9VNddbwvqWTdYKEqV5,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3QAxBLpXRLVMh1dRtuQa0q,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3U3I9TY7on88tPvM1guh54,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3YA5DdB3wSz4pdfEXoMyRd,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3c4vODZeeDk38CVmjbUERt,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3iW6rZmhiSLNveTOrX26z6,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3jbKDx0zB1QoJQTw8i1AvD,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3n1NaviPQXfiVQ0TarnAf4,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3t3BbpFJiGcXl4jI5CRLLA,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3xEPyp7h78uULpDPuKvokH,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:3xaCKtqadm4KnviPFKEjs7,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:48VomBCSqAsYmxI3C3TNSC,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4Da9F5PAFILkjmNmm81NZ3,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4F7k4viXqEAIlrB5rbAPbF,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4HSL9qNMgDUNQFngd3ODit,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4M07HWIlZr7zoXoxDHR5mz,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4NBuascXb3uK0mFUYuJ63f,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4PEc1CBBlhpGzswmWjLyFK,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4Z0ju0i47UZ2Y4icq2f3wZ,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4azL8fNPVZ8tmKqPyK1583,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4b2zuwf7CPesdiTg1kFDjU,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:4w0N1CaZwQ5RPIuawqlYyy,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:50WaSkL4pVvz9Crsca7oNV,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:54UUQN3j32n8TA2OJxTcHP,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:5Efud8Wmo7vBQjSJI1WcJ7,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:5LsGOvNXMG46qugdghRGRF,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:5W1NIlh0lKO1nABgocreql,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:5XUYDlbeJCIFSCekufQiZb,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:5ZorEUDqewnEygf4FAOjhm,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:5qrIP0zXoDQUSZ9l1ZaECQ,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:68xTLBWjoRADRf86WYmTmy,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:6P62c1CkC8iNejWXQGegDQ,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:6Pqey2mc4EWSfYNH3bifbO,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:6UuNvv5UFJG5bQkYzQIarh,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:6Y1wIHHmTIqv3mnVvQNJNH,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:6hcQqEfqHDkQZl1bdgr4Vr,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:6pZj4nvx6lV3ulIK3BSjvs,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:6wdSf72duVewXTqhYU3Z87,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:6zr4GyBIMy2GRvIGPflYaK,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:77NPr874WU941XZhjO43dR,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:7L6kEZVkWh7OEI71b1JHZd,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:7btQeUDTIIfnh2iCQ8Pfhq,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:7dwRGP1A80POqE3O9At5Vw,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:7lZs5r4oQV2nutddffLrg0,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:7nMexBA71PdwPnfqS5Yji5,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:7zdZNXoapFcOW663zgLdOE,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:album:1P5LIeSXzyMqjWjNtB2wG0,spotify:artist:0MBNzfGHTiPYag4DupDXUj
spotify:album:5r5iTtNflB2DAKO1t5ih8f,spotify:artist:0MHgLfmQdutffmvWe5XBTN
spotify:album:0uRFz92JmjwDbZbB7hEBIr,spotify:artist:0RpddSzUHfncUWNJXKOsjy
spotify:album:1WyHAY8OWdfCFWTF0Ufwjj,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:2U1BPwhkzHt05OFugiSB3g,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:2b4JQKXl0gwf3bnAfhZwLA,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:3CcgnUkTrUaPTt4Ms1MkoP,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:3uhihQCm9aSvdJmDXcVrvi,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:4e841RxorIoZIufX8v7p7E,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:4eKdn0skJCidO2wqIJyCgB,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:4vGkZl9P0sKxupLdJE7ndS,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:5MQM8Jw1FvT21Dny8cOXjF,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
spotify:album:1CvjjpvqVMoyprsf74bpYW,spotify:artist:0TImkz4nPqjegtVSMZnMRq
spotify:album:3mVCQqgwEvwD7lHy9KHi7R,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk
spotify:album:5kV0KBXfELibs6qQJLmOtg,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk
spotify:album:6z2Ij8op0iB16BnmrCy0vH,spotify:artist:0UntV1Bw2hk3fbRrm9eMP6
spotify:album:3sVBVr420an61GAwib9AYk,spotify:artist:0W0w607z3JEA1vXLz9FVGw
spotify:album:11FzhwtOFCPB4vpgWo33xV,spotify:artist:0WjPfejYCYgUBvzSvKlg67
spotify:album:5KuGBZ8VDDWM47WK2hs0PV,spotify:artist:0X1f2U9bxiC3DhKA8OcvgG
spotify:album:15Zgvxqql6EPHE3NJlUt0R,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
spotify:album:3duZhvcaoqdNveQYXf9dMV,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
spotify:album:4A43DyDoAVa1Fb8pq6Yejl,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
spotify:album:3nJnyDV8fwFpffo0EyHQto,spotify:artist:0X380XXQSNBYuleKzav5UO
spotify:album:0gt7dy4ONFo6uc8D5w2WNi,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:0n62copUsWrST9M6AsYfZI,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:11hjJntrvmauDoga4Krr0U,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:1kdURRaOTpDCQqsVIU5CiT,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:3Q34hV5fBbMpRpADmlptr7,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:3Z9cZon6ukg4rvGYu7i4NA,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:3xje7wSW2xwQx2GNJ5cfNu,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:4G9qMxS9c4W5PPNdPrTaLn,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:4xzsBcZaK04c8IE5iVyMNK,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:59QELOU685J1AMB2paryAx,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:5Fy5PyBWqMNK7xvXO9Q32f,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:60m09rutmwj5ewOJoFIAVY,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:6GhELYbXRo1LOqRPOCsQrF,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:6TOnqVuglIk6Db2TdUwTcZ,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:7CucpzwxAZ6kHmctI9eo4X,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:7lqVInQc3l7SbnbZa2cpFJ,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
spotify:album:6c66PBJdg7EWPcFUvLyFFu,spotify:artist:0XIKGBo9PnK1ApI5tZA60d
spotify:album:1NFGnxmeIEBakre4DvLaJq,spotify:artist:0YrtvWJMgSdVrk3SfNjTbx
spotify:album:76wI74XuASLFrY9pUVLhO9,spotify:artist:0ZrpamOxcZybMHGg1AYtHP
spotify:album:0FrC9lzgVhziJenigsrXdl,spotify:artist:0b1sIQumIAsNbqAoIClSpy
spotify:album:70xdtgH5XuYTqBNdNbUwGO,spotify:artist:0b1sIQumIAsNbqAoIClSpy
spotify:album:76IRLp7YzBVLKsat6Ro9ae,spotify:artist:0b1sIQumIAsNbqAoIClSpy
spotify:album:1KmL1EZ0Pg9Vj3rPYMDqHY,spotify:artist:0blbVefuxOGltDBa00dspv
spotify:album:3wpdeV1FZfiEnelZSfAFp4,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX
spotify:album:15L0rrHDr8Q21y7e8WAo8S,spotify:artist:0cRX0gc8vmwKmV0RWqCV2L
spotify:album:1b2aoeaYZZBWmJoavOQhnd,spotify:artist:0cxXnDhpgxcMMkKddhORHY
spotify:album:3nqQxvxUB95Bi2UBseY1u1,spotify:artist:0dUYLC7DLjeS8gIh8cz2Pq
spotify:album:1YgekJJTEueWDaMr7BYqPk,spotify:artist:0du5cEVh5yTK9QJze8zA0C
spotify:album:1uyf3l2d4XYwiEqAb7t7fX,spotify:artist:0du5cEVh5yTK9QJze8zA0C
spotify:album:3mumK2ar9b4JPhVOZR0V2p,spotify:artist:0du5cEVh5yTK9QJze8zA0C
spotify:album:4PgleR09JVnm3zY1fW3XBA,spotify:artist:0du5cEVh5yTK9QJze8zA0C
spotify:album:4VZ7jhV0wHpoNPCB7Vmiml,spotify:artist:0du5cEVh5yTK9QJze8zA0C
spotify:album:58ufpQsJ1DS5kq4hhzQDiI,spotify:artist:0du5cEVh5yTK9QJze8zA0C
spotify:album:5a4sJJ3qjn6hqRsvm0Veso,spotify:artist:0du5cEVh5yTK9QJze8zA0C
spotify:album:6QKXGIgwWmWBMmIktMOchR,spotify:artist:0du5cEVh5yTK9QJze8zA0C
spotify:album:6d1vGZsr6Uy3h9IigBpPAf,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
spotify:album:0JfaSjTaej3QB27ofjnbQV,spotify:artist:0ebNdVaOfp6N0oZ1guIxM8
spotify:album:2dEJHnsuxIij7YeBbt0sVm,spotify:artist:0ebNdVaOfp6N0oZ1guIxM8
spotify:album:2k8KgmDp9oHrmu0MIj4XDE,spotify:artist:0epOFNiUfyON9EYx7Tpr6V
spotify:album:2xkZV2Hl1Omi8rk2D7t5lN,spotify:artist:0epOFNiUfyON9EYx7Tpr6V
spotify:album:3HFbH1loOUbqCyPsLuHLLh,spotify:artist:0epOFNiUfyON9EYx7Tpr6V
spotify:album:58VYPx8GBYTf3Sz2RyPApB,spotify:artist:0fEj1fYIQwWj1bzzAto9rp
spotify:album:07xYpylAQHOJoHStqUpKwp,spotify:artist:0fP33MCfVUaPivyFYLZtoh
spotify:album:1VpHqAIW8Pu343GJa0UpRQ,spotify:artist:0fP33MCfVUaPivyFYLZtoh
spotify:album:27W6ijbmL6QPNrdQGncwDJ,spotify:artist:0fP33MCfVUaPivyFYLZtoh
spotify:album:3DLNakCGffrhPaaj9rfepk,spotify:artist:0fP33MCfVUaPivyFYLZtoh
spotify:album:40g8iY5VB5sTJ31943mAzQ,spotify:artist:0fP33MCfVUaPivyFYLZtoh
spotify:album:56RyapLbZ4DESHfzD87X7F,spotify:artist:0fP33MCfVUaPivyFYLZtoh
spotify:album:5lVqgXqdoIH3W1wUM2hzPx,spotify:artist:0gOrXuu1vCBXe3pwTyb5Ca
spotify:album:1o8jYrnyZueTPIdhlHuTc8,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
spotify:album:2CjIfWoFITACUOlWGB7os5,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
spotify:album:2DDNDdePEx9R0bBwRqahdr,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
spotify:album:4jTVGyo4fSSFniFPbfr0bW,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
spotify:album:4uJ120PsfiWOC7aV5FqGkU,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
spotify:album:5KoR6s906nbO21C9ZPdwTv,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
